SAMPLE_ID,KRT17,ESR1,KRT14,EGFR,KRT5,DDX41,STAT5A,STAT5B,MKI67,CDC20,RFWD3,SIAH2,CDH3,SMIM14,FCN1,ACTR3B,RAB17,SUSD3,TYMS,INAVA,PRRG2,DNMT3B,PBK,TTYH1,IL34,SLC39A6,OVOL2,FABP5,CLEC10A,ELF5,MAGED2,ABAT,SLC43A3,FOXC1,RERG,RPL21,BCL10,PLPP3,RMND5B,MARCHF6,ISCU,PRNP,GSK3B,RPL10A,C1R,FOXP1-IT1,EZR,CFH,SDHD,KLRB1,ZFP36L2,ARFGAP1,SELENOF,CHTF18,CTHRC1,HSD17B6,LRRC38,CES1,ATP1A2,SCN2A,COL10A1,PENK,CXCL3,MRGPRX2,BGN,SLC10A6,CCDC141,PKHD1L1,OR2L13,DSC1
MB-0189,0.53796315,-0.44198805,0.5703562,0.27913028,0.14116445,-0.17715435,-0.33791453,-0.3243182,-0.62294316,-0.67822725,0.20894879,-0.59544826,0.6154445,-0.3432123,1.3698535,-0.060884874,-0.30042395,0.04528779,0.69952303,-0.20164889,0.034991853,-0.20684849,-0.79729855,-0.30482185,-0.0014989582,-0.8038966,-0.32901692,0.5685566,2.3985941,-0.3629077,-0.29902315,-0.96255547,0.3798047,0.5103707,-0.21814515,0.40059912,1.4560333,1.2207917,-0.7300166,-0.38710308,0.90247256,0.8370899,-0.81989336,0.60664624,2.078476,-0.9917496,-0.48237583,1.1920991,0.2772296,0.7031233,0.5550614,-0.23094165,0.69832236,-1.0728307,1.5211169,0.24363784,-1.1463112,1.1015215,0.024895063,0.0035985326,0.9030705,0.5553595,-0.10827306,-0.86478,1.3767521,1.8429339,1.3458599,-0.8879754,1.7629559,0.11817039
MB-0891,-0.59395176,0.5986495,-1.0374384,0.13896571,-0.94816005,-1.0721277,1.6055958,0.8885746,-1.0585334,-1.5740001,-0.9597574,0.9526585,-1.3173676,0.3413138,0.30192304,-0.5158699,0.14246409,1.5978968,-0.8344907,-1.0658311,0.09067776,-1.0862262,-1.2562826,-0.43228963,0.031392723,0.43858895,0.49367607,0.5306661,0.3562099,0.11447182,-0.52836525,0.68622726,0.323019,0.5955492,0.2911267,0.13916509,1.2811774,0.62634194,-0.6837283,-0.14876336,0.9432622,0.07468214,-0.48937678,0.4509854,1.8232402,-0.7974986,0.07038442,2.2279377,0.2623334,0.32881764,0.6433391,-0.8127946,0.5710546,-1.0222435,1.061133,-0.50007427,-1.812843,1.190199,0.37810567,-0.30822274,0.8761773,1.844833,0.9559581,-0.55055976,1.012744,1.1548077,1.5177164,-0.65103537,-1.2668809,-0.9973477
MB-0658,2.7110157,-1.7032698,0.9399629,1.0216426,3.298266,-0.27702904,-0.28302836,-0.8035968,1.1868012,1.196197,0.9066734,-0.5833514,1.1617066,-1.8488299,0.73951256,3.0767226,-2.2910206,-0.6971253,2.4656785,0.7586092,0.90437186,-0.311522,1.6354873,2.7679017,3.3187616,-0.91776776,-0.9890508,2.1419592,-0.48877674,1.11242,-0.74011177,-0.7296144,0.35451108,2.479574,-1.2292906,0.4537857,0.7934006,0.35800967,-0.88037854,-0.58065414,0.2779301,1.3032724,-0.24473856,0.42799118,1.1922989,-1.3170675,-0.62014097,0.5410634,0.25303572,0.9630577,1.2018982,-0.37740463,0.782801,-0.06398443,1.3970481,0.6553339,0.3251175,-0.34301314,-0.7268147,-0.18655345,0.30592123,-0.19395079,2.155555,-0.43788832,0.54576176,0.4710804,0.8403878,-0.11757035,-0.20304886,1.670578
MB-0899,1.1374122,0.029293062,0.94676125,-0.33771375,0.43099114,-0.53426385,0.5585597,-0.02599377,-0.5470623,-0.5567581,-0.28262764,1.3542564,0.09377622,0.23164167,0.11057138,0.022993937,-0.060184676,0.58555174,-0.18275478,-0.28312835,-0.11866926,-0.6075472,-0.4970743,-0.20104808,0.18705335,1.1266148,-0.39200106,0.4126959,0.039989755,0.43699044,0.044490132,1.0225421,-0.04958704,0.13166617,-0.058685277,-0.05778521,-0.571655,0.36800712,-0.45488614,-0.19285221,0.35151154,0.14946328,0.16305847,0.2186439,0.5644568,-0.74341226,0.2622359,0.44468775,-0.11707087,0.51277125,-0.3837017,-0.62714154,-0.09967585,-0.28812805,0.48087937,1.094523,-1.1030221,1.1834008,0.010798632,-0.22924268,1.0294386,0.2330411,-0.23933995,-0.19375025,0.20084879,-0.035791565,0.03649122,-1.1550078,-0.63304055,-0.33491513
MB-0605,1.0962226,0.4957754,0.824992,-0.07857927,0.63993824,-0.5800523,0.1101726,0.43279,-1.1126199,-1.2069932,-1.2482848,0.63283974,0.56445736,0.31811967,0.059684224,-0.5574594,0.26353344,0.7470111,-0.74611294,-0.29552522,-0.15625973,-1.4143434,-1.6099932,-0.16035835,-0.67232937,0.6879258,0.7311163,0.1643586,0.03289155,-0.4888759,-0.95505744,0.43379116,-0.29292572,-0.055986483,-0.21804518,1.0901251,0.5428638,0.2268428,-1.0706304,-0.33881527,1.0528346,0.71402097,-1.1490102,0.69282454,1.1178176,-0.2534359,-0.4155927,1.7966465,0.42439246,-0.020594256,1.891924,-1.4010459,0.6915241,-0.18825318,0.6702316,0.88687533,0.243938,0.23184146,0.28422943,0.76200706,0.9030705,0.43419015,-1.6684788,-1.7236621,0.7333145,-1.5945978,-0.095575355,0.48627684,2.2779262,-0.33841422
MB-0258,-0.6814297,0.790901,-0.59504986,-0.35580915,-0.5090711,-0.8549827,-1.0411373,-1.1095192,-0.56855685,-0.5996472,-1.351159,1.0547324,-0.4601839,1.2010953,0.77290416,-0.2563355,0.52136827,2.1634545,0.15595993,-1.1274155,0.8463865,-0.6484369,-0.72091776,-0.75550795,-0.57265455,1.4586308,0.074781485,0.1374654,-0.63434,0.0015003285,-0.54896003,1.7191658,0.064784124,-0.56345844,0.7504111,0.39809975,0.10887328,-0.32571763,0.03558995,-0.47967964,0.05148722,-0.6820271,-1.1890001,0.17885391,0.33541447,-0.76940566,0.5035749,0.2373401,0.25693473,0.34131446,-0.16555676,-1.0282401,0.55495864,1.3753537,-0.6585331,-0.08917809,0.2142455,2.0580792,0.009398986,-0.4054982,0.061283004,-0.1978498,0.16085896,0.4094967,0.044488225,-0.16095994,-1.4732267,1.5183157,-0.26263383,0.7437123
MB-0506,-0.67183214,-1.8225398,-0.8981734,1.7783512,1.9559054,0.8645819,-0.3499115,-0.7522098,-0.060384795,0.61924356,0.24483976,0.7129194,-0.693625,-0.49187455,-0.31732062,0.044388533,0.5182691,-1.361858,0.90637094,1.4097451,-0.079879075,0.34121305,1.331764,-0.2627325,3.0101397,-0.96825504,-2.5919476,-0.7254167,-0.31212136,1.3666558,-1.0309384,-1.0803256,-0.7618075,-0.5271676,-2.3478093,-0.89307445,0.6034485,0.9130694,1.0097437,-0.11107288,-1.442336,0.2787307,1.0787272,-0.61764556,0.38940087,-1.4797264,-1.3816484,0.14756276,-0.49557534,-0.49547452,0.10917392,1.2839755,-0.21274726,0.43489015,0.049688168,1.363555,0.034190923,-0.5548595,-1.1331118,-1.0311402,0.6506342,-0.11377109,1.0786271,-0.14686213,-0.59455055,0.38190293,0.15526117,0.21944436,-0.05618585,-0.9530589
MB-0420,1.3817506,-1.7435597,0.8698807,0.9790533,1.1384121,1.3724533,-0.5597586,-0.63284004,1.4633316,0.3175201,0.26283523,-0.82359034,0.76600647,-2.1089637,0.23264056,1.0867252,0.036590856,-1.3779539,2.7401092,1.3950489,-2.573048,-0.13016786,0.0016997731,3.3778474,-0.24043855,-1.1460099,0.099675216,1.2820765,-1.0505348,1.9380116,-1.4656286,-0.87157845,2.012093,2.244833,-1.8026464,-0.099774614,0.0750818,-0.41079614,-0.9083715,0.016894765,-0.13366607,1.7260658,0.060484376,-0.4929769,1.5756024,-0.9875507,-0.45528266,0.88577646,1.0132439,-0.3782041,-0.47117963,-0.15086189,1.1087185,-0.6016493,0.56605786,2.1174645,-0.47228128,5.406132,-0.23863824,0.18725216,1.7039682,0.3530107,0.564657,0.40109885,1.4658296,-0.3289175,0.25003716,0.031092025,-0.24673785,-0.22804211
MB-0223,0.8182925,-0.1591594,0.7631076,-0.45478415,0.43728954,0.28152952,-0.29662493,0.07338105,0.121369444,-0.7323136,0.04349038,-1.0817248,0.066982985,0.05898552,-0.06078536,-0.3918013,0.22164406,-1.2723805,-0.092877425,-0.66883117,1.3962474,-0.76730686,-0.49587458,-0.3419125,-0.65873283,0.8299899,0.31182182,-0.29452556,-0.3693069,1.07273,0.36021042,-0.09327544,-1.1954981,-0.55945945,0.6173446,-0.44118845,0.4700821,-0.32381812,0.4087956,-0.07328243,0.063684136,0.28542897,-0.16435885,-0.3370162,0.60794586,-0.19804987,0.62594396,0.60004854,-0.9612578,0.7195191,0.029993894,0.83758837,-0.30102494,-0.9489619,0.15826078,0.51646894,-0.3350159,-0.29482532,0.25573665,-0.37710536,0.861481,-0.17125653,-0.16275929,-1.5264122,0.20944661,0.59125006,0.32201895,0.36870658,-0.101474434,-0.529466
MB-0445,0.87767756,0.14786315,0.8121952,-0.39949813,0.31831962,-0.4367886,2.061681,-0.44408786,-0.34531307,-0.35620898,-1.2722789,2.190144,-0.012796871,0.27623034,0.30092332,-0.2511368,0.7212178,1.7073693,0.9395626,-0.70882106,0.9506601,-1.0350392,-0.94686073,-0.5654559,-0.7551084,0.8844761,-0.41439542,-0.4130956,-0.2556356,-1.1191169,-0.23004055,2.3220131,-0.47677934,-0.13706604,1.0928249,-0.7919,1.9697036,-0.20604785,0.7639059,-1.0960238,0.25703534,0.24603893,-1.403646,-0.15446216,0.39519945,-0.65243524,-0.7791008,-0.59924877,0.09237628,-0.9493601,0.8106969,-0.7402129,0.12226803,0.32041892,1.8761272,1.3231652,-0.1951512,-0.049287427,-0.5339635,-0.33241665,1.0532326,0.10217424,-0.029293008,-0.34321237,0.77500397,2.087772,-0.3444124,-0.525967,1.1259164,1.0804272
