endpoint,gene,selection_score,model_importance
survival,TGFBR2,62.140540355811815,0.4475019547734434
survival,RPL21,71.12455145112261,0.40226470226448224
survival,SYF2,84.00906162051548,0.3931306764419734
survival,GEM,58.22597148792304,0.34200790112049045
survival,BCL10,94.27020614776966,0.32318049388181125
survival,COL17A1,59.767989364053165,0.30814111536449884
survival,MARCHF6,84.55633644081666,0.2953902631037776
survival,LHFPL6,61.34365429977885,0.2747957884615574
survival,KLRB1,70.28956182593559,0.26525432782389474
survival,DNAJB6,78.22988727147977,0.2500001998914385
survival,KIAA0562,65.84770681007107,0.2493176743754614
survival,TAF12,63.27315993908623,0.2488016019933423
survival,KLRC3,57.062491633573046,0.23684361022327535
survival,EZR,104.72972171231045,0.23371138212462625
survival,ATP2A2,56.71609002254008,0.23167872559969502
survival,IL33,59.254282545183266,0.23101933598923557
survival,MARK2,66.46047784644466,0.22939389119170547
survival,SLX4IP,65.96572861051195,0.22776245226644853
survival,PCDHB19P,59.485462299822636,0.22630633200559713
survival,LRFN5,60.171407024398235,0.22286488051112885
survival,ITM2B,57.3764928681501,0.20642739172138802
survival,JAK1,80.06942252217364,0.2054057294840585
survival,GUSBP4,64.74232976695782,0.2036173711118598
survival,ISCU,76.1952398468458,0.20310914219001347
survival,GUSBP19,63.4857415939089,0.19804440469069037
survival,PLPP3,89.9746189512466,0.19784163813671674
survival,LDHB,63.46196566307811,0.1966030278719775
survival,HSD17B11,101.97020932403228,0.19575408194771907
survival,PIGY,64.38026480561423,0.1926753180302942
survival,BCYRN1,73.09953069099316,0.1891493339635636
survival,ZFP36L2,84.72764173954072,0.17866015341360247
survival,CRTAP,66.2715790256731,0.178205017492481
survival,ATG4C,57.11557697543311,0.1732521350183834
survival,PPP6R1,60.53059216711772,0.17085273193556844
survival,ARL6IP6,61.68779307567988,0.1676494722653681
survival,GLIPR1,60.848456505884755,0.15829464290481599
survival,RBM3,59.92931755647756,0.15554861156915897
survival,TCEAL7,62.477688167882086,0.15426507018217075
survival,TMEM56,59.56965807829608,0.15230845118939496
survival,CH25H,81.74703632594216,0.15192124834681542
survival,PLPPR2,65.97843612118177,0.14988058849428917
survival,EVI5,62.24330003486447,0.14487831948023838
survival,HMGCR,59.066758435876274,0.1446156434422066
survival,ZNF827,57.388775327833336,0.14299652653524741
survival,RPL17,66.05889562002417,0.14174397689715798
survival,DUSP1,58.77033801362332,0.1416127639096602
survival,SLC26A6,58.69976592387576,0.13905337293475872
survival,ENPP2,63.60676938926323,0.13860972248058853
survival,ANXA1,65.89178047249743,0.1382609877438716
survival,GSN,61.59315847826386,0.1367450958118437
survival,ATG12,90.98333671784307,0.1338695632732153
survival,GPR183,58.528544321007935,0.13255720473038538
survival,TANK,61.34786585529497,0.13232593828962536
survival,DUSP11,76.20123030339954,0.13175604180683648
survival,MICALL2,65.46185529630702,0.13082990807362946
survival,CAV2,64.96330673683174,0.12875063994239452
survival,PIGX,63.79953426322627,0.12620539143175477
survival,SDHD,72.03413229625525,0.12415521671607216
survival,TNFAIP8,63.572616815343515,0.12319534546626727
survival,COMMD8,66.41572971193423,0.1231881519386696
survival,SYNJ2BP,61.55846631648536,0.1217912350291741
survival,EEF1B2,89.22350878047504,0.12101828720096498
survival,SFRP1,57.07509396223288,0.12025361694597322
survival,ZFP36,61.41219383393627,0.12005922468839492
survival,JCHAIN,96.23105210746485,0.11986948604235188
survival,HARS1,62.71325765367728,0.1194057452712229
survival,ZC3H11A,67.67612563479608,0.11813543346427514
survival,INTS1,65.09758495067292,0.11810679259169614
survival,TDG,64.04472722273013,0.1174149648445253
survival,GSPT2,60.6937543435271,0.11400457014824442
survival,TTC14,59.61985544639071,0.11330710827109526
survival,IL27RA,59.78919843358269,0.1127602765503722
survival,CDKN1C,60.78518156507262,0.1117485958326069
survival,TAOK2,86.54249378431196,0.11103467338819603
survival,SIX4,64.82969490745106,0.11051185757814455
survival,UBE2E3,64.30587246164097,0.10907742139365677
survival,FCER1A,92.6884331292339,0.10687374079199342
survival,SGF29,60.132252454970015,0.10663755211178956
survival,CNST,67.21336763047566,0.105211999529385
survival,C14orf184,68.56542337980872,0.10487549472107553
survival,MOB3B,84.1660346773368,0.103575423082374
survival,DDX41,79.44104291520027,0.1024151623515776
survival,CASZ1,57.70590589858487,0.10136378022731497
survival,MAT2A,84.55958175711953,0.09910589456170674
survival,TMEM35B,83.30924749873998,0.09859900951894136
survival,PTGER4,60.88766748148019,0.09736205201829252
survival,SMIM30,56.71790084688031,0.09711575397200091
survival,PDGFRA,60.43507307747183,0.09669506403336271
survival,CD1E,62.42332971662256,0.09540002615988503
survival,PTOV1,60.802586037233944,0.09073976014752018
survival,UVSSA,65.87506316774035,0.09033492306228845
survival,RECQL5,62.46782333511738,0.08895669353891796
survival,SLC4A8,62.69173214611074,0.08739873581828228
survival,RPS25,61.28866947269884,0.08696821263016727
survival,YTHDF1,64.10950228135172,0.08530045620131668
survival,TMEM241,65.94618541570412,0.08418085730591218
survival,PKP4,57.19076018015581,0.08275981796385988
survival,SNX29,57.009208485015805,0.08143166352632901
survival,NPIPL3,56.67983883769926,0.08123789629207966
survival,ABCB1,59.65941818307549,0.0810997323263489
survival,PLSCR4,79.49118997711325,0.07922655203428122
survival,RMND5B,102.13995379512153,0.07810500938955998
survival,CERS4,66.96737052041375,0.07793666349439844
survival,CFH,76.39438592048079,0.0746052205587925
survival,RELN,64.20277422148688,0.07436182328704756
survival,RBM14,71.75759619500359,0.07293772541158935
survival,L2HGDH,60.94223429873819,0.07235084743630868
survival,HIKESHI,62.829799313414526,0.07012637047465727
survival,DPYSL2,56.93773098770934,0.0680051951191593
survival,FBXL6,58.09180414956687,0.06796904816462038
survival,C3,60.436043056449044,0.06662254463573462
survival,RPL3,64.12594349617173,0.0657580485376313
survival,LOC401261,57.06773310549082,0.0649125797902177
survival,STXBP3,60.69351890449364,0.06364893510980187
survival,EIF2AK4,64.4935673348822,0.06262558227626819
survival,DENR,58.289740416529206,0.06167871591128537
survival,ITM2A,86.29197711163258,0.05918000547992506
survival,H2BC11,63.8662268459252,0.05591018957026409
survival,DPYD,61.881581942109044,0.05578327684416679
survival,MYLK,57.69581151692632,0.0530198621842936
survival,FOS,66.31143518065814,0.05298644726084576
survival,CASP8,57.55847583576838,0.05247895222071082
survival,FBXO41,60.418941559593236,0.05230020438768595
survival,UBE2D2,68.38058488439499,0.051498309133395676
survival,BRWD1,57.966976835666756,0.050400786497110696
survival,EGR2,76.74096578525787,0.05016404028935474
survival,HOXD12,68.3223532473207,0.05006775760383252
survival,PHKA2,57.22456487632708,0.04996766654660331
survival,SELENOF,74.21619439335926,0.049090009892564596
survival,OTUB1,68.51371949153928,0.04878438754812314
survival,CHTF18,65.19465880735166,0.04863886056256834
survival,RCBTB2,61.44703222086519,0.048542247820333936
survival,LIPT1,56.61755254543597,0.04752173646789439
survival,HNMT,61.448769957316344,0.04651394954105235
survival,PCDH18,71.1715642921229,0.04496103277858458
survival,NFE2L2,59.438086452702734,0.044511262060098214
survival,BRMS1,57.757868995822264,0.04351320999952429
survival,CLN3,58.12246227970566,0.042414450610739576
survival,RHPN1,76.09883148759165,0.04239298278878521
survival,FOXP1-IT1,93.60831119667915,0.04163978841396794
survival,ARFGAP1,80.11432950827592,0.04153196745545485
survival,MXD3,82.77691895249212,0.04145818015456725
survival,C1R,92.24234498866129,0.04023778562353221
survival,CDS1,74.44626832621705,0.039963474489289275
survival,PRNP,90.9747571648643,0.039952478195464325
survival,HNRNPK,58.274296271203035,0.03993740616250541
survival,FMO1,60.23450650444212,0.03832935859778005
survival,KMT2C,62.936661201458556,0.03655908561488932
survival,LAMA2,65.63287120105434,0.031963357830769396
survival,DCTN1,60.40228674312137,0.03158535314983182
survival,RPL10A,64.95927963939951,0.031489612749064005
survival,TMEM243,70.62176571298788,0.03123895552400999
survival,DTWD1,65.63767221272676,0.03038418388047234
survival,ALDH1A1,75.05533051251167,0.030243992541138975
survival,GSK3B,68.1161254172566,0.029348768856116526
survival,SPRY2,74.31272069300496,0.029207103210587775
survival,RPLP0,63.86999760707733,0.028660929968911415
survival,ISY1,66.61940549965102,0.02833141585411986
survival,GMEB2,71.67818310340778,0.027288307324683018
survival,CPVL,58.88920723179834,0.027275181444871247
survival,RBM39,60.74818038970578,0.02712870473011507
survival,RPS17,59.61137013252632,0.025541172524371675
survival,SNAP23,58.59296666219925,0.025534819055515717
survival,CWF19L2,70.79675541853365,0.024792990833077205
survival,ASB3,75.40833781643074,0.024538536500383082
survival,ZNF277,61.60912824951638,0.024332719739034562
survival,TUBB6,59.165542953941014,0.0215617263093943
survival,EGR1,66.70262485594588,0.021128103041358266
survival,PLXNA3,63.61552016468728,0.020137227742415793
survival,RGS18,59.775512078298924,0.01999724467290824
survival,DDX27,58.13210849427642,0.019818411621069957
survival,EIF2B5,58.05887807167327,0.019669758395691597
survival,AGO2,58.76492354829747,0.018785079272227074
survival,ZNF264,72.2509060908414,0.018651319047659806
survival,KIT,58.56973531627692,0.017308533092578324
survival,PA2G4,61.26031000323693,0.017107238806965734
survival,PCDH17,57.73175324675068,0.014438214966974169
survival,EDNRB,60.05097877592266,0.014352195065100779
survival,DPRXP4,65.41565885372475,0.01395827307637939
survival,TRAPPC9,59.73111044490744,0.013510324045131793
survival,LONP2,58.70499236331588,0.013385567318071421
survival,WTAP,57.10584897982747,0.013324523833786201
survival,SNCA,58.79687007132439,0.012959205949323246
survival,OGN,77.12831928445476,0.012866088344469749
survival,DOP1B,66.0644325334336,0.012245419741486518
survival,SLX4,67.7355454536823,0.011879793791042337
survival,RBM48,58.47552991663364,0.01167919542631426
survival,TMEM14C,60.43361873110545,0.011176646779321885
survival,SDCBP,60.75823624284541,0.010711102141370847
survival,MRPS16,68.29242373073893,0.010621746646684268
survival,FGL2,66.05675739525046,0.010233365373594386
survival,SDHAP2,60.6819444452262,0.00945952876631737
survival,CXCL12,69.36458046976085,0.008836768065805441
survival,DCN,77.32717468711353,0.008136420642501602
survival,ZNF148,57.78890315128406,0.007645860264991337
survival,COMMD6,70.20725202404412,0.006937902777904779
survival,ARID4B,64.49273340243815,0.006068356162683192
survival,PBX1,59.22662168958578,0.001861397844319723
survival,SRGN,64.80905921734805,0.0009301909172203697
survival,TMEM60,67.58412901528659,0.0006822916904860644
