endpoint,gene,selection_score,model_importance
recurrence,MCM2,36.94835317854794,0.3743003387343244
recurrence,PCLAF,49.88826232803908,0.36775615425586705
recurrence,CDT1,34.03666834123606,0.35072299493397696
recurrence,CBX7,29.09949947957763,0.2639008738246779
recurrence,AURKB,36.18482474361491,0.2550649468263998
recurrence,S100P,39.37288865703485,0.25372083016760494
recurrence,KIF20B,50.07337288643674,0.24230202153412608
recurrence,CCNA2,32.59016080664165,0.23897606901860813
recurrence,FEN1,48.308988326496475,0.23181939494086629
recurrence,POC1A,34.64222620754534,0.2311633017597091
recurrence,EXO1,40.99258909943126,0.22883778582220762
recurrence,CENPK,29.896688396695424,0.2222474152873416
recurrence,TOP2A,31.906955827452716,0.21907954744154612
recurrence,CDC20,52.4383042817489,0.2174415863721106
recurrence,CYB5D2,26.826238460953636,0.2049318570455091
recurrence,LINC00472,41.82546267839337,0.20332825434443816
recurrence,SIX4,39.837784214648565,0.197114670638973
recurrence,HJURP,48.88689233252228,0.19684316122256698
recurrence,TRIB2,26.13661409318449,0.19260640761144573
recurrence,SDS,32.72181215060336,0.19048981916966834
recurrence,CDKN3,29.58866494009544,0.18930986075921774
recurrence,TIMP4,27.373720764212337,0.18913442245774897
recurrence,GINS3,44.886364582082244,0.18910902793707804
recurrence,MRGBP,51.59981666397345,0.1861516220381318
recurrence,TRIP13,26.07597632405397,0.18489453528854408
recurrence,SPC25,42.59002327373714,0.18213543187925976
recurrence,NUSAP1,58.62348975770366,0.1807278814670439
recurrence,CDCA3,30.857711928318363,0.17315949785846496
recurrence,CKAP2L,57.965946673405355,0.1709698387794856
recurrence,NUP93,35.26421195832031,0.17084910210136425
recurrence,SAP30BP,27.585638003387274,0.1700855676911977
recurrence,TM2D3,27.581466878986728,0.16730882880049616
recurrence,ENC1,32.020468865538,0.1638726694259127
recurrence,CDC45,38.4934415526378,0.16267349712156676
recurrence,KIF14,28.601766939336407,0.1625899041664737
recurrence,CEP55,37.97448984452883,0.16135926320484292
recurrence,HSP90AB1,32.91117203871695,0.15933166275228036
recurrence,AURKA,58.303860472513556,0.15898093687097084
recurrence,ACP7,43.69182286965662,0.1572586067333885
recurrence,C11orf80,26.38270691004955,0.15046322657126596
recurrence,CD302,33.25565457365552,0.14977798939382975
recurrence,SMC4,27.063137502910582,0.14688971210642393
recurrence,CDK2AP2,26.462076909820496,0.14276710569602583
recurrence,DBN1,42.260665471370885,0.14255810965334778
recurrence,N4BP2L1,29.854322777588962,0.14090228782346784
recurrence,PLK4,44.70955702372666,0.13612295548092324
recurrence,PRC1,44.4836259687182,0.13437317616857508
recurrence,STAT5B,34.85339715165643,0.13144861086443077
recurrence,ASF1B,34.22546974842708,0.13126972533144127
recurrence,SKA1,26.46621533126714,0.13089730740893846
recurrence,DYNC1H1,28.023342740310323,0.13045285313986693
recurrence,SPATA4,27.839333545604507,0.12478446288959755
recurrence,KIF2C,38.01956227934731,0.1244817217267478
recurrence,E2F2,32.59077718467603,0.1230476693164284
recurrence,AGO2,27.80134065819799,0.12237351912420817
recurrence,MKI67,46.461682703298386,0.12204435453802151
recurrence,ZNF707,26.494307193143488,0.12097909773840851
recurrence,CDCA5,56.88545438668051,0.12071923037212147
recurrence,PIGV,26.23470552318779,0.11886514993903846
recurrence,PPP3CC,26.653530260667896,0.11861560165880844
recurrence,CRIM1,28.065137835629624,0.11806484281103052
recurrence,TICRR,30.117789538695487,0.11725747184454328
recurrence,AGFG2,26.375667420919644,0.11616778169782707
recurrence,STAT5A,45.811987032045465,0.11434935260019198
recurrence,OIP5,34.18348530213708,0.11159763709035166
recurrence,KIF20A,62.29655672431037,0.11032386008212806
recurrence,NUDT1,27.094636157041595,0.10929968665464876
recurrence,BUB1,35.195292432401814,0.10917878490168643
recurrence,PIMREG,25.966006482421765,0.10872140919773443
recurrence,RACGAP1,56.13269794759096,0.10735779868444578
recurrence,C16orf86,32.94822330291905,0.10673119358097825
recurrence,GRHL2,27.30179004265039,0.10667387705805835
recurrence,CENPE,44.53158840742034,0.10567793542034588
recurrence,NCAPG,46.82910677653043,0.10485088749479145
recurrence,DLGAP5,32.199059764073915,0.10357501183226761
recurrence,KCNE4,29.882378587410287,0.10347975341772833
recurrence,POLE,29.298125411354974,0.09876775174430029
recurrence,TBC1D31,28.67175446236162,0.09666992681481289
recurrence,SPTBN2,30.057165729123433,0.09518088573336995
recurrence,RSBN1L,26.547975453395193,0.09488138129893897
recurrence,CDC25A,27.27510834957084,0.09452553637240418
recurrence,KIF15,40.01500529198031,0.09417521490541815
recurrence,KNTC1,27.375932931341584,0.09407976978084842
recurrence,KNL1,28.061616847823018,0.0924402990147359
recurrence,TEDC1,34.012352457859215,0.09229570250091287
recurrence,ARFGAP1,28.134286914809667,0.09199995544049629
recurrence,TTK,31.8310631432383,0.09042969973704841
recurrence,BLM,28.363909318495192,0.08864423341269077
recurrence,FAM83D,32.898097355210986,0.08704551481610066
recurrence,TMEM132A,37.47026088474271,0.08460588875198993
recurrence,POLA2,32.386683819498046,0.08376100755438576
recurrence,ASPM,45.15001039236922,0.08315699964025068
recurrence,TMEM189,36.28918734269139,0.08306619200504065
recurrence,E2F7,30.299647361442233,0.08223925407821038
recurrence,MND1,36.55345017594591,0.08160013256850089
recurrence,SLC2A4RG,39.89969247925278,0.0782474564612304
recurrence,RNASEH2A,28.23646260621815,0.07559943463672122
recurrence,KIF23,39.3594718627489,0.0738439088480495
recurrence,TIMELESS,39.09279812651814,0.07373209577996603
recurrence,UCK2,26.519870558775008,0.07355677309988506
recurrence,ZMYND19,26.55515806657036,0.07336169177380901
recurrence,DIXDC1,40.27478228981529,0.07311765191511439
recurrence,LMNB1,31.62600008084647,0.07236372000223065
recurrence,LMNB2,26.601223398088873,0.07216378911156461
recurrence,PUF60,28.082533769084467,0.07094975225492221
recurrence,CDK1,27.337528005260655,0.07078037828352468
recurrence,WDR34,29.63139727140399,0.06959467907910713
recurrence,TROAP,64.44302581120064,0.06905681639629548
recurrence,NUDT18,29.733325839552744,0.06682658892126735
recurrence,EMC9,31.441282603456067,0.06620985255846336
recurrence,CCNB2,53.217030185350005,0.0656879864619872
recurrence,FANCD2,27.34892629045838,0.06504035789814924
recurrence,CENPM,29.686108115469676,0.06367061811884188
recurrence,INCENP,27.04804113653941,0.06345201729409836
recurrence,UHRF1,46.447253849047875,0.06344100972918157
recurrence,ATAD2,30.23915211005078,0.06328335989778185
recurrence,DNMT3B,32.855525393632945,0.06217534719351704
recurrence,BARD1,36.17568040139529,0.06179218805188404
recurrence,STIP1,52.193870959205896,0.06145912873870643
recurrence,CENPF,54.64001171580715,0.06115522846688737
recurrence,SYNC,28.178745546816394,0.05924842147049834
recurrence,RAD54B,27.89636170795717,0.05863468023713804
recurrence,SLC52A2,38.857159794373764,0.05861023279239463
recurrence,NMRK1,26.424831310078538,0.057987501687843904
recurrence,CCNE2,37.89998780361275,0.0575599566317233
recurrence,CTTN,27.665545321636316,0.054411678594024016
recurrence,FBXL6,40.740493011957874,0.05395156185714057
recurrence,IPO9,32.294034085435506,0.053092738093197485
recurrence,RPS6KB2,26.785097215653025,0.05248954818922248
recurrence,CDC25C,48.196235330648136,0.05228029623387233
recurrence,FAM110A,30.164973383906677,0.051779199205034196
recurrence,MCM10,34.61550272506262,0.0483929592363265
recurrence,ATP2A2,27.796879890653685,0.04713257746111696
recurrence,PTTG1,50.456007565720085,0.046948900580876064
recurrence,CCDC28A,27.356520202613357,0.04526906945198004
recurrence,DDX39A,35.35241643614375,0.044524624623409774
recurrence,EPHX2,27.294284698068257,0.04363862377854216
recurrence,GSK3B,32.1559484065366,0.042229488678594204
recurrence,TDG,29.011154297543474,0.04202147941127885
recurrence,MXD3,57.957744982769114,0.041162216039777946
recurrence,ANAPC16,25.995817573999243,0.03780233266446985
recurrence,RALGAPB,30.94752900223801,0.037684566410204554
recurrence,CCNB1,33.59551264265106,0.0376329411918866
recurrence,SARAF,30.2760386660081,0.03671493674097253
